Episode,Reward
0,-300.08127497934817
1,-346.6992105212047
2,-288.1729929308092
3,-100.94488120928418
4,-312.71460774091713
5,-152.54719329996124
6,-97.19729824144706
7,-127.33668350791838
8,-203.3773333806384
9,-213.76385510687788
10,-235.7002435820963
11,-167.39523255870895
12,-152.09171994309617
13,-92.70446550337647
14,-95.54149802859007
15,-116.78818492353335
16,-261.91366328016005
17,-192.6157505873341
18,-446.11662837211287
19,-126.24368266335279
20,-442.87485142234675
21,-284.3211570198208
22,-197.24936541111157
23,-105.83073063228187
24,-108.97863383441873
25,-117.37098870866814
26,-300.6388064292115
27,-81.45282578537757
28,-358.4378271815693
29,-130.36472469133247
30,-108.2033856613748
31,-155.60764624302954
32,-398.00533413368254
33,-465.35112069206934
34,-121.65108353317653
35,-72.70387408263657
36,-287.97231239454595
37,-161.24393342967215
38,-238.56067976610532
39,-231.1498533793977
40,-142.7955949459257
41,-175.69396274880518
42,-120.98864329580499
43,-77.30301843288754
44,-366.6019625241153
45,-391.04513829608476
46,-117.17437616874017
47,-395.96654527075975
48,-48.63526746543841
49,-483.16135333357903
50,-361.1556132516571
51,-89.70807969268341
52,-411.9143710627632
53,-114.99166939218341
54,-197.05530341784117
55,-315.29750439678025
56,-198.61996994245627
57,-84.54196826307479
58,-116.56244825823946
59,-56.79731957949603
60,-83.5852665198382
61,-69.88210374660108
62,-77.58695404757322
63,-313.1238716892684
64,-324.2092138462635
65,-140.15882449569204
66,-446.3627128954193
67,-120.23305277527042
68,-194.35171892393492
69,-249.318624804865
70,-100.97961288118238
71,-149.92003305800432
72,-250.85699921775534
73,-156.19344135508607
74,-174.69840429683796
75,-128.76701485742606
76,-129.93413745132344
77,-182.4176317033597
78,-236.52689117234337
79,-123.81004198004102
80,-101.7656284077177
81,-86.95037184076648
82,-155.31740090195933
83,-180.81748054286828
84,-93.94278651759078
85,-446.77810899118356
86,-110.9563731014662
87,-248.15756822974788
88,-400.7684869656742
89,-115.02690405863055
90,-208.77972935570068
91,-115.31721316078959
92,-273.11524139862183
93,-136.96079002981213
94,-111.79593035870198
95,-38.87420437467056
96,-212.21691414023115
97,-128.47443243732732
98,-228.30291108883387
99,-87.16760267039139
100,-60.38965499628977
101,-120.64505003367556
102,-110.80991415527127
103,-420.2848697260532
104,-262.42010375527974
105,-44.05537141108435
106,-92.7423957426311
107,-77.52579872879572
108,-102.50365364598753
109,-101.16660862621141
110,-144.35368518825015
111,-161.58656031679453
112,-168.9093170301938
113,-313.5316598073847
114,-230.10152305749057
115,-222.49624007212734
116,-352.31449657258395
117,-49.68703696119465
118,-187.99903810634316
119,-85.24483711304677
120,-263.1942717566868
121,-307.78622180710147
122,-106.74853060497222
123,-47.98402492614608
124,-407.211443424776
125,-71.59900255105832
126,-214.02091690420963
127,63.17141465269066
128,-75.58046443780654
129,-135.78303333445746
130,-141.74522011655966
131,-79.1432119839994
132,-204.26117182415015
133,-168.9573170917167
134,-206.4713899814472
135,-165.61866911783096
136,-246.4647142039678
137,-181.5022812473429
138,-57.98304198976297
139,-324.78494318976465
140,-371.59883163716745
141,-172.90556617379562
142,-136.76906154443233
143,-294.04146406239477
144,-302.24830416201587
145,-387.82425339091856
146,-248.59297885353067
147,-219.9113873554976
148,-128.797680546439
149,-230.89843957643143
150,-75.99872369212135
151,-112.80991950185157
152,-228.81340675765085
153,-115.08818970763359
154,-99.17300152511669
155,-88.35899290902672
156,-105.81817977618445
157,-43.438101000000835
158,-37.67478340236891
159,-175.77468261230678
160,-122.07301709911327
161,-330.6563317632007
162,-54.02979094668419
163,-98.19915069764865
164,-311.4025265061926
165,-246.57421575943263
166,-232.79082559317064
167,-116.86498120015949
168,-324.4352357123057
169,-239.03507612699093
170,-132.49890940033478
171,-235.25358079200825
172,-20.316576863328933
173,-203.60335187845652
174,-160.87249390159485
175,-249.62212547715123
176,-216.99510323914095
177,-282.6062110421458
178,-115.4776081305275
179,24.75000134810557
180,-72.00156072713516
181,-57.9270913784497
182,-324.1661344059828
183,-116.87108588522241
184,-48.47658691653888
185,-136.4914278855178
186,-11.522879848597483
187,-161.00660139479595
188,-201.2955669803781
189,-394.4143948035079
190,-314.49874957365023
191,-31.22948892570578
192,-59.61121128723121
193,-260.021324936341
194,-58.881082798566794
195,-68.27525836401296
196,-471.9858403349364
197,-165.21492695718646
198,-73.74503015090501
199,-186.8211819439848
200,-75.94862975920591
201,-217.5001304712614
202,-276.90253356799576
203,-80.83394359742205
204,-150.00612727801285
205,-133.33115091674978
206,-112.46362876242988
207,-9.447934446726151
208,-111.20777794440754
209,-174.5262854745101
210,-63.673491695909284
211,-194.30310131524897
212,-140.9139704622167
213,-93.79271339752663
214,-5.21475098409158
215,-150.85903310029516
216,-141.91630434614376
217,-157.72084975120177
218,-53.29598046199567
219,-64.44088140662664
220,-107.8847084768234
221,-107.96405653173149
222,-222.85984605297676
223,-72.19691625345953
224,-128.14006987252552
225,-142.87836284633988
226,-59.85059261087708
227,-151.17322780810628
228,-438.1738378167898
229,-203.65887128882764
230,-73.47890888105707
231,-98.47901067272893
232,-133.08722604559185
233,-26.225660154030265
234,-142.15889199356357
235,-85.9162843760023
236,-43.20798696689826
237,-84.50372743958602
238,-98.00670563500955
239,-209.54719895266408
240,-213.25074685936534
241,-190.59587845985527
242,-22.57211776932101
243,-179.49026928567702
244,-45.987489128886665
245,-105.66676269904848
246,-178.1087227910342
247,-335.29068921829423
248,-96.77416555044292
249,-223.93805354866652
250,-48.14413002069598
251,-93.90269541136321
252,-152.05091640420432
253,-101.42832735124414
254,-289.75223090804326
255,-157.0045321327927
256,-156.5231588777688
257,-243.9633092782901
258,-178.45660881918388
259,-119.17598720020236
260,-22.27154051701551
261,-81.55405063247102
262,-42.73894365056431
263,-131.54818232367526
264,-75.94413349841632
265,-164.78088290152584
266,-126.91927212123447
267,-93.30573850821695
268,-120.18181566490419
269,-39.85470977936174
270,-58.50046277222572
271,-171.38245349124844
272,2.6105406859492026
273,-43.27660668432217
274,-52.45416294759592
275,-145.1250161191499
276,-235.60274624975514
277,-217.1441694631305
278,-84.35778392830079
279,-113.59389035424758
280,16.949117860771594
281,-129.8194190619085
282,-40.21099959829742
283,-158.71035399050353
284,-178.8535266000297
285,-147.2092310791444
286,-65.90763749754241
287,-127.04142692913227
288,-125.21171848367327
289,-93.6200292911352
290,-116.13940632633441
291,-135.88981913261765
292,-90.80878737726013
293,-95.79943011911608
294,-154.47927265000283
295,-38.11837652826938
296,-285.14801844358954
297,-104.58321238349703
298,-144.03410510112298
299,-58.376646603876
300,-140.7790678559503
301,-141.37047217587227
302,-55.13229311513574
303,-89.51256658568117
304,-85.00135085890294
305,-131.7828849929138
306,-323.41609354462787
307,-113.32334551571344
308,-133.52110036024277
309,-95.58180089630021
310,-88.57315077197478
311,-124.66909576228767
312,-182.9005501501078
313,-132.10473367778863
314,-96.02880316732725
315,-100.02794862546894
316,-194.51710572568913
317,-67.91680078070009
318,-175.43082458141834
319,-71.45478429732343
320,-129.47028034351024
321,-113.15835281665318
322,-130.85616929384975
323,-200.09141486996964
324,-31.84613084060301
325,-78.67276479960114
326,-42.60418380781459
327,-93.03991597466175
328,-102.36676803209446
329,-146.03442549152368
330,-83.91220524433604
331,-43.527677273877586
332,-67.54241513181086
333,-241.49030272877337
334,-74.74015646775979
335,-76.06754693088467
336,-61.76126776465665
